6147.1900	-6.2
6177.9400	-6.5
6182.1500	-6.4
6186.3600	-6
6189.3100	-5.6
6190.5700	-6.1
6194.7800	-5.7
6198.9900	-5.6
6203.2000	-5.9
6207.4200	-5.6
6211.6300	-6.1
6215.8400	-6.4
6224.2600	-6.6
6227.2100	-6.2
6228.4700	-6.4
6232.6800	-6.2
6236.9000	-6.3
6241.1100	-6.3
6245.3200	-6.3
6249.5300	-6
6253.7400	-6.3
6257.9500	-5.5
6262.1600	-5.6
6265.1100	-6.4
6303.0200	-6
6340.9200	-6.4
6378.8200	-6
6416.7200	-6.1
6454.6300	-6.2
6546.1900	-6
6653.1600	-6
6760.1300	-6.3
6867.1000	-5.9
6974.0700	-6
7081.0400	-6.2
7188.0100	-5.9
7294.9800	-5.8
7508.9200	-6.2
7615.8900	-5.8
7722.8600	-6.2
7829.8300	-5.7
7936.8000	-5.6
8043.7700	-5.4
8061.1200	-5.3
8073.0100	-5.4
8084.8900	-5.6
8096.7800	-5.6
8108.6600	-5.7
8120.5500	-5.7
8132.4300	-5.4
8144.3200	-5.5
8156.2000	-5.4
8168.0900	-5.3
8174.5100	-5.5
8180.0000	-5.5
8190.0000	-5.6
8195.0000	-5.6
8200.0000	-5.8
8204.0000	-5.5
8210.0000	-5.1
8215.0000	-5.5
8220.0000	-5.3
8225.0000	-5.6
8230.0000	-5.6
8235.0000	-5.3
8240.0000	-5.3
8245.0000	-5.6
8250.0000	-5.4
8255.0000	-5.3
8260.0000	-5.4
8265.0000	-5.5
8270.0000	-5.8
8275.0000	-5.6
8280.0000	-5.4
8285.0000	-5.3
8290.0000	-5.9
8295.0000	-5.6
8300.0000	-5.3
8305.0000	-5.8
8310.5800	-5.3
8363.7400	-5.4
8348.9200	-5.9
8422.4100	-5.6
8456.6800	-5.6
8486.5800	-5.4
8556.2700	-5.4
8631.4600	-5.5
8672.2000	-5.4
8779.9600	-5.2
8849.7200	-5.4
8919.3500	-5.7
8988.9900	-5.7
9066.3600	-5.8
9143.7300	-5.2
9221.1000	-5.4
9368.0000	-5.4
9515.0000	-5
9662.0000	-4.8
9662.0800	-4.7
9772.3700	-4.8
9882.6600	-4.7
9992.9500	-4.5
10103.2000	-4.6
10213.5000	-4.8
10323.8000	-4.7
10434.1000	-4.6
10544.4000	-4.7
10654.7000	-4.8
10765.0000	-4.8
10875.3000	-4.8
10985.6000	-4.7
11095.9000	-4.7
11206.1000	-4.8
11316.4000	-4.7
11426.7000	-4.6
11537.0000	-4.7
11647.3000	-4.8
11757.6000	-4.9
11867.9000	-4.9
11978.2000	-5
12088.5000	-5.1
12198.8000	-5.1
12309.0000	-5.2
12354.4000	-4.8
12399.8000	-5.1
12445.1000	-5.3
12475.4000	-5.3
12520.8000	-5.1
12566.1000	-5.5
12611.5000	-5.5
12656.9000	-6
12702.3000	-5.7
12747.6000	-5.9
12793.0000	-5.7
12838.4000	-5.8
12883.8000	-6.3
12929.1000	-6.6
12974.5000	-6.8
13019.9000	-6.8
13065.3000	-6
13110.6000	-5.7
13156.0000	-5.8
13227.6000	-5.8
13299.1000	-5.7
13370.7000	-5.6
13442.2000	-5.8
13513.8000	-5.9
13585.3000	-5.9
13656.9000	-6
13728.5000	-6
13800.0000	-5.2
13871.6000	-5.8
13943.1000	-5.9
14014.7000	-6.1
14086.2000	-6.2
14157.8000	-6.1
14229.4000	-6.1
14300.9000	-6.3
14372.5000	-6.3
14444.0000	-6.4
14515.6000	-6.5
14587.2000	-6.5
14658.7000	-6.4
14730.3000	-6.4
14801.8000	-6.7
